Name of WikiPage, Total Revision of Article, Anonymus Revision of Article, Unieque Editors of Article, Minor editors of Article, Total Revision of Discussion Page, Anonymous Revision of Discussion Page, Unieque Editors of Discussion Page, Minor editors of Revision,Controversial
2008%E2%80%9309_UEFA_Cup,3439,1437,1961,466,228,13,215,35,1
Memristor,1751,505,1221,499,647,122,525,131,1
User:IL7Soulhunter,10,0,9,0,124,0,124,6,1
2008_in_music,7214,3575,3493,736,81,8,73,10,1
The_Apprentice_(UK_series_four),2124,1013,1066,273,187,43,144,34,1
Take_a_Bow_(Rihanna_song),2251,1041,1173,313,43,5,38,8,1
Australia%27s_Next_Top_Model_(season_4),2375,1576,775,175,52,23,29,15,1
Democratic_Party_presidential_primaries_2008,3956,1305,2624,678,914,139,775,128,1
ICarly,10316,4713,5490,1591,923,268,655,207,1
User:Mjroots/sandbox,6839,4,6561,4298,0,0,0,0,1
User:StatusBot/Status/ClueBot,786,0,762,109,0,0,0,0,1
Washington_Redskins_draft_history,706,31,654,57,8,0,8,4,1
User:Wilhelmina_Will/sandbox,74362,2,72872,10,0,0,0,0,1
Thierry_Henry,11815,4075,7662,2475,1202,199,1003,301,1
Hillary_Clinton,15984,1960,13603,3852,12766,1001,11765,1443,1
Wikipedia:Requests_for_arbitration/Giovanni33/Workshop,648,7,634,38,97,2,95,6,1
Wikipedia:Village_pump_(miscellaneous),47931,2934,44547,7250,169,7,162,32,1
Girlicious,2878,1516,1334,391,56,19,37,15,1
Wikipedia:Editor_assistance/Requests,44370,2721,40399,7837,530,14,516,62,1
Wikipedia:Reliable_sources/Noticeboard,129717,3473,123719,12474,2084,37,2047,324,1
List_of_WWE_personnel,49605,8412,39545,5220,7618,1009,6609,1053,1
Flavor_of_Love_(season_3),3021,1935,1064,208,42,14,28,14,1
Jeremiah_Wright_controversy,1390,230,1148,376,705,102,603,127,1
Sino-Tibetan_relations_during_the_Ming_dynasty,1508,64,1429,941,325,20,305,123,1
2008_IIHF_World_Championship,1013,292,706,255,47,8,39,11,1
American_Idol_(season_7),5010,1927,3021,578,500,60,440,61,1
2008_Stanley_Cup_playoffs,2250,462,1752,570,318,6,312,25,1
Grand_Theft_Auto_IV,14419,4311,9804,3231,3612,642,2970,618,1
2008_Summer_Olympics_torch_relay,2616,476,2118,787,1035,66,969,223,1
Expelled:_No_Intelligence_Allowed,4300,200,4059,891,0,0,0,0,1
David_Archuleta,5874,2148,3576,1027,622,133,489,117,1
Miss_Universe_2008,5003,2771,2187,553,108,22,86,26,1
The_Garden_of_Earthly_Delights,2109,263,1827,529,360,16,344,45,1
User:Cyberpower678/RfX_Report,75032,148,72637,19,5,0,5,0,1
2008,13682,5311,8287,3245,637,70,567,107,1
Wikipedia:Bureaucrats%27_noticeboard/RfA_Report,22975,1,22744,76,32,0,32,2,1
User:SQL/RfX_Report,11636,1,11169,34,5,0,5,2,1
2008_conflict_in_Lebanon,1162,285,841,273,233,20,213,36,1
User:ST47/NFCC10c,2519,0,2493,443,0,0,0,0,1
Wikipedia:Pages_needing_translation_into_English,69872,690,67106,5681,844,23,821,86,1
User:StatusBot/Status/ClueBot_III,1471,0,1426,521,0,0,0,0,1
Indiana_Jones_and_the_Kingdom_of_the_Crystal_Skull,7883,2756,4921,1252,1195,192,1003,172,1
Mario_Kart_Wii,5113,2131,2952,897,374,69,305,63,1
User:ST47/AfD,13712,0,13300,13708,0,0,0,0,1
Wikipedia:Main_Page/Errors,82708,7740,73468,7155,600,95,505,122,1
Wikipedia:Graphics_Lab/Image_workshops,38,2,34,7,4,1,3,2,1
Barack_Obama,27002,1670,24825,7224,45820,5595,40225,7841,1
List_of_Democratic_Party_superdelegates_2008,3199,329,2863,504,689,28,661,65,1
Dorje_Shugden,2965,427,2487,717,1805,111,1694,401,1
Dancing_with_the_Stars_(U.S._season_6),2645,1708,908,326,66,11,55,11,1
List_of_scandals_in_India,1190,325,847,200,49,3,46,12,1
Michael_Jackson,29304,3978,24819,7137,16745,3127,13618,3253,1
E%3DMC%C2%B2_(Mariah_Carey_album),7466,3139,4153,561,353,55,298,85,1
Blackout_(Britney_Spears_album),16328,7824,8248,1782,949,131,818,198,1
Texas,13017,4124,8626,3831,1047,197,850,255,1
Wikipedia:Wikiquette_assistance,44401,1362,41317,6378,807,2,805,105,1
Template:ToolserverBot,5,0,4,1,0,0,0,0,1
Boris_Johnson,7195,1948,5089,1802,671,152,519,113,1
Catholic_Church,27637,5676,21741,6215,21491,755,20736,1832,1
Wikipedia:Biographies_of_living_persons/Noticeboard,135962,8238,125169,19064,853,47,806,125,1
Here_I_Stand_(Usher_album),2860,1338,1461,319,69,4,65,17,1
Formation_and_evolution_of_the_Solar_System,3196,593,2550,1117,571,51,520,69,1
User:Spy007au/Sandbox,1216,6,1185,260,3,0,3,1,1
Bows_against_the_Barons,656,4,632,56,9,0,9,3,1
Magic_Johnson,5826,2057,3693,1514,412,120,292,78,1
User:Kerres/Sandbox,1938,1,1898,16,74,0,74,0,1
Charles_Lindbergh,7896,2635,5050,1917,756,68,688,92,1
Myanmar,11870,3977,7656,3470,4344,425,3919,640,1
Wikipedia:Administrator_intervention_against_vandalism/TB2,217170,56,208429,75750,0,0,0,0,1
Template_talk:Did_you_know,356394,4282,348590,42053,0,0,0,0,1
Wikipedia:Reference_desk/Miscellaneous,317916,52013,257925,31055,13,0,13,4,1
Wikipedia:Requests_for_page_protection,518199,14792,488304,44231,2893,149,2744,469,1
Wikipedia:Administrators%27_noticeboard,315411,8769,303575,33721,9408,484,8924,1490,1
User:Cyde/List_of_candidates_for_speedy_deletion/Subpage,912329,17,903188,912281,4,0,4,0,1
Wikipedia:Administrators%27_noticeboard,315427,8769,294391,33728,9408,484,8924,1490,1
Wikipedia:WikiProject_Spam/LinkReports,399359,6,395359,56,3,0,3,2,1
Wikipedia:Sandbox,700260,321527,367371,66691,17301,6204,11097,4451,1
Wikipedia:Reference_desk/Science,461910,79088,371337,39524,4,0,4,4,1
Wikipedia:Help_desk,402507,40226,347789,57618,3695,172,3523,644,1
Wikipedia:Reference_desk/Humanities,372700,54981,305010,32191,6,0,6,5,1
Wikipedia:Introduction,145720,70829,74142,12436,1512,377,1135,333,1
Wikipedia:Reference_desk/Entertainment,94207,15899,77524,10436,3,0,3,2,1
Wikipedia:Introduction,145720,70829,74142,12436,1512,377,1135,333,1
Wikipedia:Reference_desk/Entertainment,94207,15899,77524,10436,3,0,3,2,1
Wikipedia:In_the_news/Candidates,245309,8818,227031,17354,21,0,21,6,1
2008_Indian_Premier_League,1927,825,1057,329,176,12,164,17,1
Wikipedia:Arbitration/Requests/Enforcement,88745,870,84360,10243,882,3,879,69,1
American_Idol,20645,8899,11628,2754,1139,212,927,159,1
Wikipedia:Administrators%27_noticeboard/Edit_warring,189311,7754,177925,21375,1454,80,1374,242,1
Wikipedia:Village_pump_(policy),122174,3647,117341,12730,670,29,641,81,1
Wikipedia:Reference_desk/Mathematics,116426,19254,93285,10847,6,0,6,3,1
User:Cyde/List_of_requests_for_unblock,140001,0,137200,139997,7,0,7,2,1
Cyclone_Nargis,2136,809,1287,551,231,34,197,43,1
Fritzl_case,3632,1035,2571,1141,429,73,356,95,1
Wikipedia:Arbitration/Requests,56233,1195,53937,8933,13614,434,13180,1649,1
Wikipedia:Village_pump_(technical),175607,4732,167457,17346,217,4,213,44,1
Iron_Man_(2008_film),7175,2810,4321,1106,562,73,489,86,1
Template:Did_you_know/Preparation_area_1,57890,444,55148,5311,0,0,0,0,1
Wikipedia:Good_article_nominations,147754,655,145628,6447,20818,220,20598,2368,1
User:AnomieBOT/PERTable,22680,2,21997,2,1,0,1,0,1
Wikipedia:Village_pump_(proposals),115910,3118,110536,11850,348,15,333,56,1
Grand_Theft_Auto_IV,14419,4311,10006,3231,3612,642,2970,618,1
Wikipedia:Requested_moves,75673,3497,70010,9069,8348,428,7920,839,1
Uxbridge_Massachusetts,9170,1271,7859,665,34,6,28,7,1
Wikipedia:Changing_username,191,0,189,67,2385,59,2326,455,1
Wikipedia:Tutorial/Editing/sandbox,122240,41607,79826,19884,1795,519,1276,581,1
Grand_Theft_Auto_IV,14419,4311,9703,3231,3612,642,2970,618,1
